1032 2737
3669 820
3959 2875
350 1576
200 918
730 3127
1160 245
3640 3671
601 2637
643 2055
2224 957
3469 798
1829 3797
3409 387
715 1715
1835 1072
2490 1525
1734 2276
1654 3469
2142 3515
373 2958
3080 2870
2078 469
3191 1760
1825 3721
73 3158
279 2636
500 380
79 2311
3986 3634
182 109
1009 979
2543 2796
3381 1590
2241 887
1191 2612
2947 3913
3101 283
3709 3779
2542 348
944 2788
1274 1029
3005 3549
1078 2223
3165 3960
925 3742
800 1725
3020 2819
2462 2450
1009 910
2353 2596
2834 577
293 2300
3162 3791
780 2830
629 1922
3546 143
1177 919
3694 2406
401 1760
2906 1432
2953 1083
268 2379
1695 1696
3766 3032
3037 2905
1166 1380
1530 14
2126 3699
3398 1234
1807 1412
1817 3204
3128 1341
3430 2079
3626 2393
2223 2497
2 3483
1571 3717
3968 1333
3745 2018
1094 1377
2073 392
211 3019
202 2019
107 1765
2526 1667
85 1690
1858 867
2407 1096
1637 1541
2409 983
2482 2051
126 190
394 2962
3603 1587
1195 805
2077 2924
850 2286
721 3302
1333 1978
3647 2650
1115 2159
282 2685
898 2077
3202 320
750 3187
347 3176
1587 3610
1480 1173
1327 3828
736 2430
2112 1608
3514 2848
3943 2922
1786 2284
3992 1734
137 237
3536 1955
1818 2568
484 1600
2331 1121
1067 3099
1927 307
1456 3946
568 1047
2118 2063
2462 2629
3316 3309
2973 2421
3418 2534
801 333
1174 2951
1336 3679
963 1913
1400 1697
3115 3077
2531 3633
3090 2152
3548 1184
1416 2689
338 2610
1044 306
989 772
2288 2052
3290 1532
1228 1995
3559 2813
3925 1131
648 997
597 1637
3883 2123
2315 2695
78 1364
1798 3358
2833 1139
1159 2368
980 866
3703 1606
1511 732
812 748
3239 2748
1645 2562
2407 1316
2774 1487
3692 667
298 975
1231 1257
1793 3653
1164 778
958 3273
1537 3480
346 3116
47 3050
813 1114
1973 970
1614 2327
395 1476
3407 3210
2462 1850
2031 3559
3395 254
1155 3089
2535 2176
3504 3470
215 2760
1130 3098
978 3137
1084 1258
2732 171
2314 133
1786 595
2671 1323
569 676
1383 34
2251 2492
3880 3763
1321 390
2047 2277
191 3816
3261 3190
2770 2032
1022 2070
392 3298
2858 3936
545 393
484 1164
3242 3746
3268 3455
3853 1896
3168 2643
794 1418
3848 948
2601 3424
1793 2270
2517 3547
1776 412
2012 11
2325 2593
3459 3043
1860 2766
240 3419
1098 795
125 1124
1510 3462
2741 2045
3576 2337
723 1871
3168 671
523 2987
328 3617
1205 2448
425 2628
3794 2017
3424 819
2128 160
3552 3468
908 2824
1646 1364
2793 1625
2732 2813
2868 3097
183 2002
2834 3208
1780 2248
3750 756
960 73
1445 930
668 775
2380 3227
1698 1847
1492 1163
3367 18
1731 1583
3392 99
741 1579
2760 856
849 3173
318 1870
2285 2640
118 816
3145 2313
790 1299
23 3568
3317 1866
413 2476
1901 3402
2436 1253
1690 69
2529 763
787 1306
1341 2816
752 2749
53 3387
700 187
91 3430
2096 2951
2336 3725
3071 117
2265 3622
549 2531
3744 1407
545 3941
3875 3507
1564 3097
3958 1982
3753 2262
3216 2563
1541 1330
485 189
3926 374
1726 652
2710 3995
2150 2647
838 3153
2310 3591
1507 3891
697 44
3209 3059
2509 2407
1554 3273
2573 3159
2581 3972
3515 3198
3660 3328
2578 2801
461 3129
2364 2747
2019 1764
2619 3487
2886 187
74 15
1105 1510
2621 3779
3032 1436
3331 1561
3167 2230
3542 2553
2821 3280
2525 2068
1087 2228
40 3305
3887 1680
3039 2532
2027 2508
1421 1817
2863 2954
3872 783
3988 2757
3183 2796
3568 142
3233 1134
2122 874
2448 3441
2438 423
